广东频道,#genre#
东南卫视,http://27.11.49.234:8010/rtp/225.0.4.200:7980$720x576
东南卫视,http://124.64.189.63:8888/rtp/239.3.1.156:8148
东南卫视,http://123.113.34.218:4022/rtp/239.3.1.156:8148
甘肃卫视,http://124.112.84.250:4000/rtp/238.1.79.36:4400$1920x1080
甘肃卫视,http://123.113.236.69:8012/rtp/239.3.1.49:8188$720x576
甘肃卫视,http://111.165.222.109:8000/rtp/225.1.1.30:5002$720x576
甘肃卫视,http://114.243.104.92:8888/rtp/239.3.1.49:8188$720x576
甘肃卫视,http://sweetown.fun:4000/rtp/239.3.1.49:8188$720x576
甘肃卫视,http://117.32.85.224:8014/rtp/239.112.205.48:5140$720x576
甘肃卫视,http://124.64.189.63:8888/rtp/239.3.1.49:8188
甘肃卫视,http://123.113.34.218:4022/rtp/239.3.1.49:8188
广西卫视,http://114.243.104.92:8888/rtp/239.3.1.39:8300$720x576
广西卫视,http://sweetown.fun:4000/rtp/239.3.1.39:8300$720x576
广西卫视,http://123.113.236.69:8012/rtp/239.3.1.39:8300$720x576
广西卫视,http://223.215.3.236:2000/rtp/238.1.78.70:6432$720x576
广西卫视,http://124.64.189.63:8888/rtp/239.3.1.39:8300
广西卫视,http://123.113.34.218:4022/rtp/239.3.1.39:8300
广西卫视,http://111.167.226.190:4022/rtp/225.1.2.81:5002
广西卫视,http://116.226.74.224:18888/rtp/239.45.0.5:5140
贵州卫视,http://sweetown.fun:4000/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://124.64.189.63:8888/rtp/239.3.1.149:8076
贵州卫视,http://123.113.34.218:4022/rtp/239.3.1.149:8076
贵州卫视,http://111.167.226.190:4022/rtp/225.1.2.28:5002
贵州卫视,http://116.226.74.224:18888/rtp/239.45.1.80:5140
贵州卫视,http://180.111.100.226:8800/rtp/239.49.1.52:6000
贵州卫视,http://180.111.100.226:8800/rtp/239.49.8.174:6000
贵州卫视,http://114.254.189.28:9999/rtp/239.3.1.149:8076
海南卫视,http://124.112.84.250:4000/rtp/238.1.79.49:4504$1920x1080
海南卫视,http://111.165.222.109:8000/rtp/225.1.2.82:5002$1920x1080
海南卫视,http://sweetown.fun:4000/rtp/239.3.1.45:8304$720x576
海南卫视,http://171.120.20.181:8004/rtp/226.0.2.61:8400$720x576
海南卫视,http://117.32.85.224:8014/rtp/239.112.205.50:5140$720x576
海南卫视,http://124.64.189.63:8888/rtp/239.3.1.45:8304
海南卫视,http://123.113.34.218:4022/rtp/239.3.1.45:8304
海南卫视,http://111.167.226.190:4022/rtp/225.1.2.82:5002
河北卫视,http://111.165.222.109:8000/rtp/225.1.2.27:5002$1920x1080
河北卫视,http://171.120.20.181:8004/rtp/226.0.2.65:8432$720x576
河北卫视,http://124.64.189.63:8888/rtp/239.3.1.148:8072
河北卫视,http://123.113.34.218:4022/rtp/239.3.1.148:8072
河北卫视,http://111.167.226.190:4022/rtp/225.1.2.27:5002
河北卫视,http://116.226.74.224:18888/rtp/239.45.1.44:5140
河北卫视,http://180.111.100.226:8800/rtp/239.49.1.236:6000
河北卫视,http://180.111.100.226:8800/rtp/239.49.8.188:6000
河南卫视,http://111.165.222.109:8000/rtp/225.1.2.61:5002$1920x1080
河南卫视,http://183.191.208.95:8085/rtp/226.0.2.52:8328$1920x1080
河南卫视,http://183.185.222.245:8085/rtp/226.0.2.52:8328$1920x1080
河南卫视,http://123.123.167.240:8000/rtp/239.3.1.27:8128$720x576
河南卫视,http://sweetown.fun:4000/rtp/239.3.1.27:8128$720x576
河南卫视,http://183.191.208.95:8085/rtp/226.0.2.195:9472$720x576
河南卫视,http://183.185.222.245:8085/rtp/226.0.2.195:9472$720x576
河南卫视,http://124.64.189.63:8888/rtp/239.3.1.27:8128
吉林卫视,http://123.113.236.69:8012/rtp/239.3.1.240:8172$1920x1080
吉林卫视,http://114.243.104.92:8888/rtp/239.3.1.240:8172$1920x1080
吉林卫视,http://sweetown.fun:4000/rtp/239.3.1.240:8172$1920x1080
吉林卫视,http://171.120.20.181:8004/rtp/226.0.2.199:9504$720x576
吉林卫视,http://124.64.189.63:8888/rtp/239.3.1.240:8172
吉林卫视,http://123.113.34.218:4022/rtp/239.3.1.240:8172
吉林卫视,http://111.167.226.190:4022/rtp/225.1.2.26:5002
吉林卫视,http://116.226.74.224:18888/rtp/239.45.0.6:5140
江苏卫视,http://sweetown.fun:4000/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://118.81.48.104:8083/rtp/226.0.2.38:8216$720x576
江苏卫视,http://171.120.20.181:8004/rtp/226.0.2.38:8216$720x576
江苏卫视,http://124.64.189.63:8888/rtp/239.3.1.135:8028
江苏卫视,http://123.113.34.218:4022/rtp/239.3.1.135:8028
江苏卫视,http://111.167.226.190:4022/rtp/225.1.1.126:5002
江苏卫视,http://116.226.74.224:18888/rtp/239.45.3.177:5140
江苏卫视,http://180.111.100.226:8800/rtp/239.49.1.16:6000
江西卫视,http://60.7.56.33:4000/rtp/239.253.92.19:6145$1920x1080
江西卫视,http://223.215.3.236:2000/rtp/238.1.78.26:6136$1920x1080
江西卫视,http://111.165.222.109:8000/rtp/225.1.2.29:5002$1920x1080
江西卫视,http://183.191.208.95:8085/rtp/226.0.2.54:8344$1920x1080
江西卫视,http://sweetown.fun:4000/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://171.120.20.181:8004/rtp/226.0.2.198:9496$720x576
江西卫视,http://124.64.189.63:8888/rtp/239.3.1.123:8164
江西卫视,http://123.113.34.218:4022/rtp/239.3.1.123:8164
辽宁卫视,http://sweetown.fun:4000/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://171.120.20.181:8004/rtp/226.0.2.35:8192$720x576
辽宁卫视,http://124.64.189.63:8888/rtp/239.3.1.210:8056
辽宁卫视,http://123.113.34.218:4022/rtp/239.3.1.210:8056
辽宁卫视,http://111.167.226.190:4022/rtp/225.1.1.154:5002
辽宁卫视,http://116.226.74.224:18888/rtp/239.45.1.123:5140
辽宁卫视,http://180.111.100.226:8800/rtp/239.49.1.35:6000
辽宁卫视,http://180.111.100.226:8800/rtp/239.49.8.173:6000
内蒙古卫视,http://223.215.3.236:2000/rtp/238.1.78.103:6696$720x576
内蒙古卫视,http://111.165.222.109:8000/rtp/225.1.1.32:5002$720x576
内蒙古卫视,http://124.112.84.250:4000/rtp/238.1.78.103:6696$720x576
内蒙古卫视,http://sweetown.fun:4000/rtp/239.3.1.43:8176$720x576
内蒙古卫视,http://118.81.48.104:8083/rtp/226.0.2.63:8416$720x576
内蒙古卫视,http://124.64.189.63:8888/rtp/239.3.1.43:8176
内蒙古卫视,http://123.113.34.218:4022/rtp/239.3.1.43:8176
内蒙古卫视,http://111.167.226.190:4022/rtp/225.1.1.32:5002
宁夏卫视,http://124.112.84.250:4000/rtp/238.1.78.109:6744$720x576
宁夏卫视,http://60.178.151.155:4022/rtp/233.50.201.57:5140$720x576
宁夏卫视,http://sweetown.fun:4000/rtp/239.3.1.46:8124$720x576
宁夏卫视,http://223.215.3.236:2000/rtp/238.1.78.109:6744$720x576
宁夏卫视,http://123.123.167.240:8000/rtp/239.3.1.46:8124$720x576
宁夏卫视,http://117.32.85.224:8014/rtp/239.112.205.49:5140$720x576
宁夏卫视,http://124.64.189.63:8888/rtp/239.3.1.46:8124
宁夏卫视,http://123.113.34.218:4022/rtp/239.3.1.46:8124
青海卫视,http://111.165.222.109:8000/rtp/225.1.1.54:5002$720x576
青海卫视,http://223.215.3.236:2000/rtp/238.1.78.102:6688$720x576
青海卫视,http://124.112.84.250:4000/rtp/238.1.78.102:6688$720x576
青海卫视,http://123.123.167.240:8000/rtp/239.3.1.44:8184$720x576
青海卫视,http://117.32.85.224:8014/rtp/239.112.205.53:5140$720x576
青海卫视,http://171.120.20.181:8004/rtp/226.0.2.59:8384$720x576
青海卫视,http://124.64.189.63:8888/rtp/239.3.1.44:8184
青海卫视,http://123.113.34.218:4022/rtp/239.3.1.44:8184
山东卫视,http://sweetown.fun:4000/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://171.120.20.181:8004/rtp/226.0.2.51:8320$720x576
山东卫视,http://118.81.48.104:8083/rtp/226.0.2.51:8320$720x576
山东卫视,http://124.64.189.63:8888/rtp/239.3.1.209:8052
山东卫视,http://123.113.34.218:4022/rtp/239.3.1.209:8052
山东卫视,http://116.226.74.224:18888/rtp/239.45.3.238:5140
山东卫视,http://180.111.100.226:8800/rtp/239.49.1.37:6000
山东卫视,http://180.111.100.226:8800/rtp/239.49.8.146:6000
山西卫视,http://223.215.3.236:2000/rtp/238.1.78.95:6632$720x576
山西卫视,http://118.81.48.104:8083/rtp/226.0.2.11:8000$720x576
山西卫视,http://183.185.222.245:8085/rtp/226.0.2.11:8000$720x576
山西卫视,http://117.32.85.224:8014/rtp/239.112.205.46:5140$720x576
山西卫视,http://sweetown.fun:4000/rtp/239.3.1.42:8172$720x576
山西卫视,http://124.64.189.63:8888/rtp/239.3.1.42:8172
山西卫视,http://123.113.34.218:4022/rtp/239.3.1.42:8172
